ID_Art,Nombre_Art,Apellido_Art,Calle_Art,Numero_Art,Codigo_Postal_art,Region_Art,Ciudad_Art,Prefijo_Art,Telefono_Art,Email_Art
1,florentia,island,sachtjen,7,33705,florida,saint_petersburg,569,81325350,fisland0@mozilla.com
2,avrom,gornall,bunting,267,32220,florida,jacksonville,569,90420936,agornall1@nature.com
3,helge,ferrey,grasskamp,773,95818,california,sacramento,569,91616661,hferrey2@hao123.com
4,coraline,le_brom,sage,48186,30340,georgia,atlanta,569,77053706,clebrom3@theatlantic.com
5,hamilton,foat,melvin,332,95113,california,san_jose,569,65021599,hfoat4@msn.com
6,jessica,guillain,lerdahl,2,92710,california,irvine,569,71443026,jguillain5@ted.com
7,corenda,wase,4th,5,27264,north_carolina,high_point,569,33624345,cwase6@free.fr
8,emmi,waldron,sutherland,99,33320,florida,fort_lauderdale,569,75469811,ewaldron7@about.com
9,charlean,fri,park_meadow,3,63104,missouri,saint_louis,569,31418136,cfri8@topsy.com
10,ber,blindt,randy,35,20520,district_of_columbia,washington,569,20229847,bblindt9@wired.com
11,thayne,inderwick,cottonwood,86156,45243,ohio,cincinnati,569,51326837,tinderwicka@google.fr
12,chev,halligan,waubesa,4428,93111,california,santa_barbara,569,70283560,challiganb@sakura.ne.jp
13,alan,eason,emmet,34,77223,texas,houston,569,71382972,aeasonc@discuz.net
14,hussein,domokos,dawn,657,10131,new_york,new_york_city,569,21271320,hdomokosd@walmart.com
15,jakob,assel,clemons,706,48335,michigan,farmington,569,24880148,jassele@foxnews.com
16,jocko,cartman,prentice,38,64054,missouri,independence,569,81617876,jcartmanf@icq.com
17,lina,waples,dixon,43525,25709,west_virginia,huntington,569,30496641,lwaplesg@artisteer.com
18,andrea,ticksall,schmedeman,175,76162,texas,fort_worth,569,68283585,aticksallh@tripod.com
19,hobey,eilles,cordelia,95,78044,texas,laredo,569,95668452,heillesi@ehow.com
20,johanna,luetkemeyers,maple_wood,2369,77010,texas,houston,569,83261741,jluetkemeyersj@sphinn.com
21,antony,desantis,doe_crossing,815,98185,washington,seattle,569,20672715,adesantisk@telegraph.co.uk
22,lanae,eplett,namekagon,76,93709,california,fresno,569,55922906,leplettl@360.cn
23,alikee,shepley,jackson,89,22156,virginia,springfield,569,57152062,ashepleym@google.com.hk
24,dana,tunnicliffe,forster,9411,83206,idaho,pocatello,569,20867695,dtunnicliffen@adobe.com
25,riordan,shipman,monument,22248,85732,arizona,tucson,569,52048942,rshipmano@constantcontact.com
26,geno,bygreaves,straubel,785,25709,west_virginia,huntington,569,30428344,gbygreavesp@wordpress.com
27,kendrick,gladdis,hallows,96530,21705,maryland,frederick,569,24058926,kgladdisq@yandex.ru
28,bibbie,aucoate,rockefeller,3,6160,connecticut,hartford,569,86038295,baucoater@chronoengine.com
29,flore,binney,carey,5753,7305,new_jersey,jersey_city,569,20146852,fbinneys@telegraph.co.uk
30,hannie,houlton,beilfuss,6008,79405,texas,lubbock,569,80619567,hhoultont@icio.us
31,ryann,eivers,elka,9357,83722,idaho,boise,569,20859533,reiversu@ebay.com
32,alaine,gerasch,sugar,63,87592,new_mexico,santa_fe,569,50552681,ageraschv@intel.com
33,christos,cunnah,reinke,19,82007,wyoming,cheyenne,569,30788393,ccunnahw@wordpress.com
34,jan,gisborne,dennis,2,80310,colorado,boulder,569,30326119,jgisbornex@163.com
35,natalee,dewick,shoshone,96,77040,texas,houston,569,28136719,ndewicky@infoseek.co.jp
36,tessie,manhare,dixon,12,78789,texas,austin,569,51274409,tmanharez@pcworld.com
37,rozina,chitham,roth,9456,61629,illinois,peoria,569,30963221,rchitham10@sakura.ne.jp
38,toinette,suttaby,dovetail,4,55188,minnesota,saint_paul,569,65162832,tsuttaby11@w3.org
39,timothy,creane,claremont,89286,95813,california,sacramento,569,91654817,tcreane12@independent.co.uk
40,milton,gramer,buena_vista,12667,32123,florida,daytona_beach,569,38668402,mgramer13@bluehost.com
41,isahella,gowanlock,bluejay,748,92145,california,san_diego,569,85836629,igowanlock14@myspace.com
42,audrey,potbury,ohio,8,35487,alabama,tuscaloosa,569,20525155,apotbury15@lycos.com
43,allx,lovemore,onsgard,51,75397,texas,dallas,569,21411677,alovemore16@bloglines.com
44,karlene,pizzey,fisk,52,27116,north_carolina,winston_salem,569,33610875,kpizzey17@barnesandnoble.com
45,rudolfo,zelland,michigan,1950,32813,florida,orlando,569,32146332,rzelland18@lulu.com
